name;mass;orbital_period
Lupus-TR-3 b;0.81;3.91405
MASCARA-1 b;3.7;2.14878
MASCARA-2 b/KELT-20 b;3.518;3.4741085
MASCARA-3 b;5.18;5.5514926
MOA-2009-BLG-266L b;0.0327;2780.0
MOA-2009-BLG-387L b;2.6;1970.0
NGTS-1 b;0.812;2.647298
NGTS-10 b;2.162;0.7668944
NGTS-11 b;0.37;35.455285
NGTS-12 b;0.208;7.532806
NGTS-13 b;4.84;4.119027
NGTS-14A b;0.092;3.5357173
NGTS-15 b;0.751;3.27623
NGTS-16 b;0.667;4.84532
NGTS-17 b;0.764;3.24253
NGTS-18 b;0.409;3.05125
NGTS-2 b;0.67;4.5111204
NGTS-3A b;2.38;1.6753728
NGTS-4 b;0.0648;1.3373508
NGTS-5 b;0.229;3.3569866
NGTS-6 b;1.33;0.882058
NGTS-7A b;62.0;0.67599
NGTS-8 b;0.93;2.4997
NGTS-9 b;2.9;4.43527
NLTT 41135 b;33.7;2.889475
NLTT 5306 b;56.0;1.698
NN Ser (AB) c;6.91;5660.0
NN Ser (AB) d;2.28;2830.0
OGLE-2005-071L b;3.5;3600.0
OGLE-2006-109L b;0.727;1790.0
OGLE-2006-109L c;0.271;4931.0
OGLE-2016-BLG-1190L b;13.38;1223.6
OGLE-2018-BLG-0740L b;4.5;3100.0
OGLE-TR-10 b;0.68;3.10129
OGLE-TR-111 b;0.54;4.01451
OGLE-TR-113 b;1.24;1.4324772
OGLE-TR-132 b;1.17;1.689868
OGLE-TR-182 b;1.06;3.9791
OGLE-TR-211 b;0.75;3.67724
OGLE-TR-56 b;1.3;1.211909
OGLE2-TR-L9 b;4.34;2.4855335
Oph 98 b;7.8;8035500.0
PDS 70 b;7.0;45108.0
PDS 70 c;4.4;69945.0
POTS-1 b;2.31;3.1606296
PPL 15 b;60.0;5.825
PSR 1257 12 b;7,00E-05;25.262
PSR 1257 12 c;0.013;66.5419
PSR 1257 12 d;0.012;98.2114
PSR B1620-26 (AB) b;2.5;36525.0
PSR J1446-4701 b;23.0;0.27766607732
PSR J1502-6752 b;26.0;2.48445723
