# name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff;method;star_name
GJ 179 b;;2288.0;2010;;2.41;12.3;3370.0;Radial Velocity;GJ 179
GJ 179 c;;3.4798;2019;;0.032;12.3;3370.0;Radial Velocity;GJ 179
GJ 180 b;;17.132;2014;;0.092;;3371.0;Radial Velocity;GJ 180
GJ 180 c;;24.329;2014;;0.129;;3371.0;Radial Velocity;GJ 180
GJ 180 d;;106.341;2020;;0.31;;3371.0;Radial Velocity;GJ 180
GJ 2056 b;;69.971;2020;;0.283;28.47;;Radial Velocity;GJ 2056
GJ 2056 c;;2982.394;2020;;3.453;28.47;;Radial Velocity;GJ 2056
GJ 221 e;;2.3946;2019;;0.03;20.0;4324.0;Radial Velocity;BD-06 1339
GJ 229 A b;;523.242;2014;;0.896;5.757;3564.0;Radial Velocity;GJ 229
GJ 229 A c;;122.005;2020;;0.339;5.757;3564.0;Radial Velocity;GJ 229
G 196-3 b;15.0;;1998;;;21.805;3400.0;Imaging;G 196-3
GJ 251 b;;14.238;2020;;0.0818;6.581;3451.0;Radial Velocity;GJ 251
GJ 27.1 b;;15.819;2014;;0.101;;3542.0;Radial Velocity;GJ 27.1
GJ 273 b;0.00922;18.64;2017;;0.091;3.8;3382.0;Radial Velocity;GJ 273
GJ 273 c;0.00374;4.72322;2017;;0.036;3.8;3382.0;Radial Velocity;GJ 273
GJ 273 d;0.03448;413.9;2019;;0.712;3.8;3382.0;Radial Velocity;GJ 273
GJ 273 e;0.0297;542.0;2019;;0.849;3.8;3382.0;Radial Velocity;GJ 273
GJ 3021 b;;133.71;2000;;0.49;17.62;5540.0;Radial Velocity;GJ 3021
GJ 3082 b;;11.942;2020;;0.079;16.63;;Radial Velocity;GJ 3082
GJ 3138 b;;5.974;2017;;0.057;;3717.0;Radial Velocity;GJ 3138
GJ 3138 c;;1.22003;2017;;0.0197;;3717.0;Radial Velocity;GJ 3138
GJ 3138 d;;257.8;2017;;0.698;;3717.0;Radial Velocity;GJ 3138
GJ 317 b;;695.66;2007;;1.151;15.1;3510.0;Radial Velocity;GJ 317
GJ 317 c;;6739.323;2007;;5.23;15.1;3510.0;Radial Velocity;GJ 317
GJ 328 b;;4100.0;2013;;4.5;19.8;3900.0;Radial Velocity;GJ 328
GJ 3293 b;;30.5987;2014;;0.14339;17.9;3466.0;Radial Velocity;GJ 3293
GJ 3293 c;;122.6196;2014;;0.36175;17.9;3466.0;Radial Velocity;GJ 3293
GJ 3293 d;;48.1345;2014;;0.194;17.9;3466.0;Radial Velocity;GJ 3293
