name;mass;orbital_period;discovered;radius;semi_major_axis;star_distance;star_teff
HATS-66 b;5.33;3.1414391;2018;1.411;0.04714;1542.0;6606.0
HATS-67 b;1.45;1.6091788;2018;1.685;0.03032;983.0;6605.0
HATS-68 b;1.29;3.5862202;2018;1.2321;0.05071;619.0;6122.0
HATS-69 b;0.577;2.2252577;2018;0.945;0.03211;420.3;5137.0
HATS-7 b;0.12;3.185315;2015;0.563;0.04012;257.0;4985.0
HATS-70 b;12.9;1.8882378;2018;1.384;0.03632;1307.0;7930.0
HATS-71A b;0.45;3.7955213;2018;1.08;0.03946;140.68;3254.0
HATS-72 b;0.1254;7.3279474;2020;0.7224;0.066517;127.66;4656.1
HATS-8 b;0.138;3.583893;2015;0.873;0.04667;829.0;5679.0
HATS-9 b;0.839;1.915291;2015;1.236;0.0312;654.36;5599.0
HD 102195 b;0.46;4.113775;2005;;0.049;28.98;5291.0
HD 106252 b;32.86;1600.0;2002;;2.7;37.44;5754.0
HD 106315 b;0.03964;9.55237;2017;0.218;0.0907;109.0;6327.0
HD 106315 c;0.04782;21.05704;2017;0.388;0.1536;109.0;6327.0
HD 10697 b;6.837;1075.69;2000;1.152;2.14;32.56;5600.0
HD 110113 b;4.55;2.541;2021;0.1829;0.035;106.3;5732.0
HD 114783 b;6.3;493.7;2001;;1.16;20.4;5105.0
HD 118203 b;2.173;6.13498;2005;1.133;0.07082;88.6;5600.0
HD 130322 b;1.05;10.72;1999;;0.088;30.0;5330.0
HD 131664 b;135.3;19600.0;2008;;3.17;55.43;5886.0
HD 136118 b;42.0;1209.0;2002;;1.45;52.3;6095.0
HD 136352 b;0.01454;11.57779;2011;0.13222;0.0969;14.8;
HD 136352 c;0.03552;27.5909;2011;0.183854;0.1729;14.8;
HD 136352 d;0.02775;107.63;2011;0.2284;0.4285;14.8;
HD 13724 b;50.5;44926.0;2019;;26.3;43.47;5868.0
HD 1397 b;0.415;11.53533;2018;1.026;0.1097;79.31;5528.0
HD 142022 A b;29.4;1928.0;2005;;3.03;35.87;5382.0
HD 149026 b;0.357;2.8758916;2005;0.718;0.04288;78.9;6147.0
HD 152843 b;0.03637;11.6264;2021;0.3042;0.1053;107.898;6310.0
HD 152843 c;0.0865;27.13;2021;0.5201;;107.898;6310.0
HD 154345 b;1.3;3538.0;2006;;4.3;18.06;5468.0
HD 168443 c;29.463;1749.83;2001;;2.8373;37.38;5591.0
HD 17156 b;3.195;21.2163979;2007;1.095;0.1623;78.24;6079.0
HD 176051 b;1.5;1016.0;2010;;1.76;14.99;
HD 181720 b;12.12;956.0;2009;;1.78;56.0;5781.0
HD 183579 b;0.0302;17.471278;2021;0.3149;0.1334;57.06;5788.0
HD 189733 b;1.142;2.21857312;2005;1.138;0.03142;19.3;4875.0
HD 190228 b;65.7;1146.0;2002;;2.0;66.11;5176.0
HD 191939 b;0.0327;8.88029;2020;0.3024;0.078;53.608;5427.0
HD 191939 c;0.0227;28.5805;2020;0.2748;0.17;53.608;5427.0
HD 191939 d;0.0182;38.3525;2020;0.2712;0.207;53.608;5427.0
HD 195689 b;2.88;1.4811235;2017;1.84;0.03368;;10170.0
HD 202206 (AB) c;17.9;1260.0;2004;;2.41;45.54;5750.0
HD 202772 A b;1.008;3.30896;2018;1.562;0.0519;147.2;6230.0
HD 206893 b;17.5;9807.0;2016;1.65;9.85;38.34;6486.0
HD 207897 b;0.05;16.202157;2021;0.22348;0.1164;28.25;5071.0
HD 208487 c;0.46;908.0;2006;;1.8;45.0;5929.0
HD 209458 b;0.69;3.52472;1999;1.38;0.04747;47.0;6092.0
HD 213885 b;0.02778;1.008035;2019;0.15568;0.02012;57.97;5978.0
HD 219134 b;0.01343;3.093292;2015;0.134;0.037;6.55;4699.0
HD 219134 c;0.01246;6.765159;2015;0.12624;0.062;6.55;4699.0
HD 219134 d;0.05236;46.71;2015;;0.225;6.55;4699.0
HD 219134 f;0.0208;22.805;2015;;0.139;6.55;4699.0
HD 219666 b;0.0522;6.03607;2018;0.4202;0.06356;94.4;5527.0
HD 221416 b;0.1904;14.2767;2019;0.836;0.1228;95.075;5080.0
HD 23472 b;0.05638;17.667;2018;0.16701;0.121;39.1;
HD 23472 c;0.05405;29.625;2018;0.19172;0.17;39.1;
HD 2685 b;1.18;4.12692;2018;1.44;0.0568;197.98;6801.0
HD 3167 b;0.0158;0.959624;2016;0.152;0.0186;47.36;5528.0
HD 3167 c;0.0308;29.83832;2016;0.255;0.1841;47.36;5528.0
HD 332231 b;0.244;18.71204;2020;0.867;0.1436;8.56;6089.0
HD 33632 A b;50.0;39082.0;2020;;23.6;26.56;
HD 3651 b;0.23;62.25;2003;;0.295;11.0;5173.0
HD 38529 b;0.93;14.3104;2000;;0.131;39.28;5697.0
HD 38529 c;23.7;2134.76;2002;;3.695;39.28;5697.0
HD 4747 b;66.6;12090.0;2016;;16.4;18.69;5340.0
HD 5278 b;0.0245;14.33902;2021;0.2186;0.12;56.12;6203.0
HD 5388 b;69.0;777.0;2009;;1.76;53.0;6297.0
HD 60532 b;9.21;201.83;2008;;0.77;25.7;6095.0
HD 60532 c;21.81;607.06;2008;;1.58;25.7;6095.0
HD 63935 b;0.034;9.058811;2021;0.2668;;48.8;5534.0
HD 63935 c;0.0349;21.4023;2021;0.259;;48.8;5534.0
HD 68988 c;15.0;12700.0;2006;;13.2;58.0;5767.0
HD 69830 b;0.1427;8.6682;2006;;0.0785;12.6;5385.0
HD 69830 c;0.1649;31.601;2006;;0.186;12.6;5385.0
HD 69830 d;0.2529;200.57;2006;;0.63;12.6;5385.0
HD 73583 b;0.031;6.3980416;2021;0.2525;0.0601;31.6;4511.0
HD 73583 c;0.0302;18.8797;2021;0.2114;0.1236;31.6;4511.0
HD 80606 b;3.94;111.43637;2001;0.921;0.449;58.4;5645.0
HD 80653 b;0.01762;0.719573;2020;0.144;0.0166;109.86;5950.0
HD 85628 A b;3.1;2.82406;2019;1.53;0.047;171.54;7800.0
HD 87883 b;81.9;2754.0;2009;;3.6;18.1;4980.0
HD 89345 b;0.1123;11.81399;2018;0.612;0.105;126.6;5609.0
HD 89744 b;10.32;256.78;2000;;0.917;40.0;6196.0
HD 92788 b;27.02;325.8;2000;;0.97;32.82;5744.0
HD 95338 b;0.12406;55.086;2020;0.3551;0.231;36.9;5212.0
HD 97658 b;0.02457;9.489295;2010;0.20047;0.08;21.1;5170.0
